Movie,LeadStudio,Genre,RottenTomatoes,AudienceScore,WorldGross,Budget,Year,Ganancia,Exitosa
Spider-Man 3,Sony,Action,61.0,54.0,890.87,258.0,2007,632.87,True
Shrek the Third,Paramount,Animation,42.0,57.0,798.96,160.0,2007,638.96,False
Transformers,Paramount,Action,57.0,89.0,709.71,150.0,2007,559.71,False
Pirates of the Caribbean: At World's End,Disney,Action,45.0,74.0,963.42,300.0,2007,663.42,False
Harry Potter and the Order of the Phoenix,Warner Bros,Adventure,78.0,82.0,939.89,150.0,2007,789.89,True
I Am Legend,Warner Bros,Thriller,69.0,69.0,585.35,150.0,2007,435.35,True
The Bourne Ultimatum,Universal,Thriller,93.0,91.0,442.82,110.0,2007,332.82,True
National Treasure: Book of Secrets,Disney,Thriller,31.0,72.0,457.36,130.0,2007,327.36,False
Alvin and the Chipmunks,Fox,Animation,26.0,73.0,361.34,70.0,2007,291.34,False
300,Warner Bros,Action,60.0,90.0,456.07,65.0,2007,391.07,True
Ratatouille,Disney,Animation,97.0,84.0,623.72,150.0,2007,473.72,True
The Simpsons Movie,Fox,Comedy,90.0,78.0,527.07,75.0,2007,452.07000000000005,True
Wild Hogs,Disney,Comedy,14.0,72.0,253.62,90.0,2007,163.62,False
Knocked Up,Universal,Comedy,91.0,83.0,219.08,33.0,2007,186.08,True
Juno,Fox,Comedy,94.0,89.0,231.41,7.5,2007,223.91,True
Rush Hour 3,Warner Bros,Action,20.0,68.0,258.02,140.0,2007,118.01999999999998,False
Live Free or Die Hard,Fox,Action,79.0,86.0,383.53,110.0,2007,273.53,True
Fantastic Four: Rise of the Silver Surfer,Fox,Action,35.0,55.0,289.05,130.0,2007,159.05,False
American Gangster,Universal,Thriller,79.0,87.0,266.46,100.0,2007,166.45999999999998,True
Enchanted,Disney,Comedy,93.0,80.0,340.49,85.0,2007,255.49,True
Bee Movie,Paramount,Animation,52.0,57.0,287.59,150.0,2007,137.58999999999997,False
Superbad,Sony,Comedy,88.0,87.0,169.87,20.0,2007,149.87,True
I Now Pronounce You Chuck and Larry,Universal,Comedy,13.0,73.0,186.07,85.0,2007,101.07,False
Hairspray,Warner Bros,Musical,92.0,84.0,202.55,75.0,2007,127.55000000000001,True
Blades of Glory,Paramount,Comedy,69.0,66.0,145.71,61.0,2007,84.71000000000001,True
Ocean's 13,Warner Bros,Thriller,70.0,74.0,311.31,85.0,2007,226.31,True
Ghost Rider,Sony,Action,28.0,56.0,228.74,110.0,2007,118.74000000000001,False
Evan Almighty,Universal,Comedy,23.0,56.0,173.42,175.0,2007,-1.5800000000000125,False
Meet the Robinsons,Disney,Animation,66.0,75.0,169.33,100.0,2007,69.33000000000001,True
Norbit,Paramount,Comedy,9.0,56.0,159.31,60.0,2007,99.31,False
The Bucket List,Warner Bros,Drama,41.0,81.0,175.37,45.0,2007,130.37,False
The Game Plan,Disney,Comedy,27.0,75.0,147.88,22.0,2007,125.88,False
Beowulf,Paramount,Action,71.0,52.0,196.39,150.0,2007,46.389999999999986,True
Disturbia,Paramount,Thriller,67.0,75.0,117.76,20.0,2007,97.76,True
No Country for Old Men,Paramount,Drama,95.0,84.0,171.63,25.0,2007,146.63,True
The Golden Compass,Warner Bros,Action,42.0,55.0,372.23,180.0,2007,192.23000000000002,False
Charlie Wilson's War,Universal,Biography,82.0,73.0,119.0,75.0,2007,44.0,True
Saw IV,Independent,Horror,18.0,70.0,139.35,10.0,2007,129.35,False
Stomp the Yard,Independent,Musical,27.0,83.0,75.51,14.0,2007,61.510000000000005,False
Surf's Up,Sony,Animation,78.0,64.0,149.04,85.0,2007,64.03999999999999,True
Halloween,Weinstein,Horror,26.0,64.0,80.25,20.0,2007,60.25,False
Tyler Perry's Why Did I get Married,Independent,Romance,46.0,47.0,55.86,15.0,2007,40.86,False
